,,,,Day 5,,,,,,,Day 8,,,,,,,,,,,,,,EOT,,,,,,,,,,,,,
13513-174,E3 SUMO-protein ligase PIAS3,PIAS3,Q9Y6X2,369.2333333,118.1391787,0.254717674,0.308537539,1.225670816,301.25,2.25,406.2333333,136.5457392,0.184215735,0.066807201,1.303492165,1.098287591,0.046533068,0.168824877,0.066807201,1.06183596,311.65,10.15,1.034328872,0.025967668,,,,,,,,,,,,,,
13514-121,Ras-related protein Rab-35,RAB35,Q15286,736.9,109.822736,0.619185063,0.433816167,1.057397044,696.9,53.2,793.15,136.0468639,0.705046543,0.308537539,0.933227439,1.098345651,0.216836423,0.36695596,0.433816167,0.904372176,849.9,110.8,1.214484125,0.06627844,,,,,,,,,,,,,,
13515-8,Regulation of nuclear pre-mRNA domain-containing protein 1A,RPRD1A,Q96P16,685.8333333,115.878351,0.916458398,0.433816167,1.017556874,674,84.2,743.1333333,119.9427595,0.872485454,0.433816167,1.035509417,1.085828594,0.044119825,0.679797446,0.308537539,1.025715367,717.65,122.35,1.058606148,0.049280953,,,,,,,,,,,,,,
13516-46,ER membrane protein complex subunit 4,EMC4,Q5J8M3,784.2333333,132.3563582,0.24826049,0.433816167,1.114521898,703.65,21.25,813.8333333,127.2692116,0.60977034,0.433816167,1.062653696,1.040494721,0.031947757,0.744427722,0.433816167,0.952778252,765.85,62.25,1.092063887,0.12144725,,,,,,,,,,,,,,
13517-3,Patched domain-containing protein 3,PTCHD3,Q3KNS1,371.1333333,127.4698875,0.351780361,0.433816167,1.192971178,311.1,15.8,396.2,153.9801286,0.427062253,0.433816167,1.176715177,1.058854781,0.060983193,0.718229493,0.308537539,0.97586849,336.7,0.3,1.085038396,0.054142098,,,,,,,,,,,,,,
13518-5,Arf-GAP with SH3 domain; ANK repeat and PH domain-containing protein 2,ASAP2,O43150,1586.216667,616.6456882,0.886581611,0.308537539,0.956474112,1658.4,361.8,1693.516667,667.2807341,0.991004429,0.308537539,1.003297886,1.067197053,0.054147888,0.194022714,0.202328381,1.044503315,1687.95,339.95,1.021726822,0.017915319,,,,,,,,,,,,,,
13519-112,Rho guanine nucleotide exchange factor 25,ARHGEF25,Q86VW2,1117.133333,1326.604074,0.328812523,0.202328381,2.350869809,475.2,21.6,1332.233333,1784.555986,0.348558348,0.433816167,2.627420044,1.067019097,0.123091238,0.981979398,0.433816167,0.998577918,507.05,7.25,1.068538647,0.033313205,,,,,,,,,,,,,,
13522-20,Visinin-like protein 1,VSNL1,P62760,696.1333333,74.92146258,0.5090978,0.308537539,0.20599927,3379.3,2761.1,759.4166667,138.0973499,0.515315657,0.433816167,0.188719491,1.085408312,0.11279295,0.974877953,0.433816167,0.995439377,4024.05,3425.95,1.090381129,0.122894879,,,,,,,,,,,,,,
13524-25,Heparan-sulfate 6-O-sulfotransferase 2,HS6ST2,Q96MM7,519.3166667,117.8536864,0.565169215,0.308537539,0.754053531,688.7,210.2,534.7833333,98.20092356,0.611403097,0.308537539,0.738192192,1.05579161,0.177240246,0.815698315,0.433816167,1.027969896,724.45,271.95,1.027064717,0.081401185,,,,,,,,,,,,,,
13525-17,Potassium voltage-gated channel subfamily G member 4,KCNG4,Q8TDN1,2085.033333,182.6234073,0.287724927,0.121672505,0.87654321,2378.7,165.2,2283.4,317.3840051,0.019189069,0.033376508,0.807325826,1.095197118,0.115742535,0.235890841,0.308537539,0.918613033,2828.35,87.45,1.192229022,0.046036169,,,,,,,,,,,,,,
13526-5,Lupus La protein:RNA recognition motif,SSB,P05455,479.75,81.15213593,0.071521869,0.066807201,1.208438287,397,2.3,614.6166667,269.6394717,0.192708774,0.202328381,1.426686784,1.244532762,0.378222432,0.42480975,0.433816167,1.146419728,430.8,27.9,1.085582122,0.076566345,,,,,,,,,,,,,,
13529-39,Nucleosome assembly protein 1-like 2,NAP1L2,Q9ULW6,815.8666667,81.81708596,0.816158996,0.433816167,0.958715237,851,117.2,849.0166667,144.1764823,0.905932093,0.433816167,1.016603804,1.044599979,0.174965828,0.528225138,0.433816167,1.058859907,835.15,83.75,0.986532753,0.037451984,,,,,,,,,,,,,,
13530-5,Urotensin-2 receptor,UTS2R,Q9UKP6,451.0166667,21.76460557,0.816013522,0.5,1.019707589,442.3,29,485.05,23.51990292,0.260586667,0.120262867,1.056984092,1.079036801,0.087667413,0.507818059,0.308537539,1.037623749,458.9,14.1,1.039911434,0.03630439,,,,,,,,,,,,,,
13532-25,Nuclear envelope phosphatase-regulatory subunit 1,CNEP1R1,Q8N9A8,448.8833333,29.36570657,0.642738974,0.308537539,1.025550225,437.7,16.7,482.95,37.44474819,0.42988951,0.433816167,1.039496341,1.076008463,0.042843896,0.894423183,0.433816167,1.011153182,464.6,13,1.064139917,0.070301889,,,,,,,,,,,,,,
13534-20,Myomesin-2,MYOM2,P54296,2634.316667,2563.554722,0.201207506,0.202328381,2.783512961,946.4,69.3,2383.966667,2829.880994,0.283614254,0.202328381,2.772215439,0.838257459,0.159794132,0.750752888,0.308537539,0.907507535,859.95,130.35,0.92369201,0.205369671,,,,,,,,,,,,,,
13535-2,Collagen type IV alpha-3-binding protein:PH domain,CERT1,Q9Y5P4,791.5833333,143.2622469,0.764075667,0.433816167,0.971685182,814.65,35.65,663.1,320.4938897,0.59259102,0.433816167,1.179788275,0.842466153,0.361619824,0.439510944,0.433816167,1.22864073,562.05,103.35,0.685689586,0.09685775,,,,,,,,,,,,,,
13536-56,DNA polymerase iota,POLI,Q9UNA4,323.65,31.16246407,0.741421835,0.433816167,0.944963504,342.5,43.6,312.7166667,21.80454209,0.649434441,0.433816167,0.913975352,0.970514698,0.062910904,0.423077482,0.202328381,0.973161635,342.15,48.05,0.997280064,0.013338947,,,,,,,,,,,,,,
13539-131,Small conductance calcium-activated potassium channel protein 1,KCNN1,Q92952,1009.066667,108.7811667,0.677895419,0.308537539,1.04876232,962.15,82.45,1097.933333,164.7736596,0.915897661,0.433816167,0.980385153,1.088057717,0.112650892,0.482428899,0.202328381,0.939451804,1119.9,160.3,1.158183647,0.067357229,,,,,,,,,,,,,,
13540-1,G-protein coupled receptor 26,GPR26,Q8NDV2,1609.933333,206.9503537,0.587081359,0.433816167,0.619443376,2599,1305.9,1790.15,156.456381,0.55117192,0.433816167,0.569676044,1.124107503,0.122428763,0.194671045,0.308537539,0.931906136,3142.4,1589.9,1.206245415,0.005642213,,,,,,,,,,,,,,
13541-1,Myc target protein 1,MYCT1,Q8N699,730.4,57.69482935,0.616393138,0.308537539,0.8813273,828.75,143.45,785,74.76899981,0.579576323,0.202328381,0.842184315,1.073918571,0.040802065,0.411413837,0.121672505,0.960167265,932.1,190.3,1.118470302,0.036024658,,,,,,,,,,,,,,
13543-7,Prostaglandin reductase 1,PTGR1,Q14914,927.0333333,104.7207026,0.093149557,0.121672505,1.181837498,784.4,43,820.7166667,133.8451022,0.22452132,0.121672505,1.112609865,0.885501125,0.097674432,0.425388707,0.308537539,0.939144247,737.65,5.05,0.942880849,0.045249715,,,,,,,,,,,,,,
13544-9,Rho GTPase-activating protein 45,ARHGAP45,Q92619,30459.73333,13586.36136,0.330593517,0.308537539,0.822378096,37038.6,798.4,6117.366667,1689.90051,0.639503196,0.433816167,0.622034447,0.217283142,0.04469027,0.817654974,0.433816167,0.828587871,9834.45,5855.35,0.262233071,0.152435111,,,,,,,,,,,,,,
13545-97,Probable RNA-binding protein EIF1AD,EIF1AD,Q8N9N8,3002.95,5573.728601,0.359495492,0.308537539,6.140374195,489.05,19.55,3442.233333,6705.071811,0.357542549,0.033376508,8.506693027,0.933270165,0.148233613,0.214063164,0.202328381,1.126019132,404.65,0.95,0.828822653,0.035075111,,,,,,,,,,,,,,
13547-5,5-hydroxytryptamine receptor 7,HTR7,P34969,1715.566667,539.7267601,0.204422586,0.433816167,1.270884263,1349.9,85.9,1755.916667,546.8049299,0.334613701,0.433816167,1.201283893,1.028656867,0.088257583,0.768288859,0.433816167,0.94057538,1461.7,135.7,1.093646388,0.170119435,,,,,,,,,,,,,,
13548-53,Phosphatidate phosphatase PPAPDC1A,PLPP4,Q5VZY2,615.35,233.236409,0.4249384,0.308537539,1.27984609,480.8,105.1,650.6,173.9396064,0.587107293,0.433816167,1.160542276,1.098547158,0.161425321,0.380145,0.308537539,0.939999288,560.6,116.9,1.168668074,0.012327401,,,,,,,,,,,,,,
13549-15,Disintegrin and metalloproteinase domain-containing protein 29,ADAM29,Q9UKF5,747.7166667,82.31831341,0.410201627,0.308537539,1.047515644,713.8,9.9,790.15,80.74294087,0.68752137,0.433816167,1.03294333,1.061900769,0.089667141,0.890176194,0.433816167,0.991476013,764.95,42.95,1.071030216,0.045316336,,,,,,,,,,,,,,
13552-7,Switch-associated protein 70,SWAP70,Q9UH65,1277.85,84.38085782,0.98357463,0.433816167,1.000665623,1277,11.8,1603.216667,568.9986216,0.297311577,0.308537539,1.261183658,1.271944584,0.507769657,0.306297116,0.308537539,1.278934831,1271.2,139.4,0.994534321,0.099972197,,,,,,,,,,,,,,
13553-4,DCN1-like protein 3,DCUN1D3,Q8IWE4,551.05,57.55312763,0.828495353,0.433816167,1.020651973,539.9,37.5,552.3,47.92424578,0.161181598,0.066807201,1.101735488,1.007154943,0.079103342,0.156478148,0.202328381,1.082442255,501.3,19.8,0.93044681,0.027952872,,,,,,,,,,,,,,
13554-78,Replication initiator 1,REPIN1,Q9BWE0,715.0833333,74.10639686,0.18124189,0.121672505,1.126026822,635.05,33.65,752.8,54.50146787,0.443375459,0.121672505,1.103246135,1.057412624,0.060645744,0.787008702,0.433816167,0.986071193,682.35,61.65,1.072349168,0.040257382,,,,,,,,,,,,,,
13556-28,5-hydroxytryptamine receptor 2A,HTR2A,P28223,1277.216667,40.05135939,0.721412375,0.308537539,0.978260315,1305.6,60.5,1521.216667,449.9354154,0.524737641,0.433816167,1.112041132,1.189978784,0.345493163,0.401240379,0.433816167,1.137333627,1367.95,104.65,1.046288227,0.031670927,,,,,,,,,,,,,,
13557-3,Nectin-3,NECTIN3,Q9NQS3,585.9333333,56.95277771,0.823678703,0.433816167,1.010491219,579.85,5.25,638.5333333,78.42787911,0.593364292,0.308537539,0.955459125,1.089206379,0.071323541,0.417675569,0.202328381,0.945434029,668.3,36.1,1.152070209,0.051826561,,,,,,,,,,,,,,
13561-5,5-hydroxytryptamine receptor 6,HTR6,P50406,1507.516667,166.9880177,0.629827373,0.433816167,1.04856136,1437.7,101.5,1589.8,188.9096786,0.930281289,0.308537539,1.004930468,1.055466475,0.058567979,0.613215454,0.308537539,0.954757828,1582,8.1,1.105480829,0.072411702,,,,,,,,,,,,,,
13563-259,Acyl-CoA-binding domain-containing protein 7,ACBD7,Q8N6N7,887.4666667,274.0057947,0.145986196,0.121672505,1.311559398,676.65,0.05,934.9333333,302.126037,0.141943353,0.202328381,1.338487235,1.049380654,0.033624738,0.695461255,0.433816167,1.016557016,698.5,22.1,1.032289028,0.032584624,,,,,,,,,,,,,,
13565-2,Retinoblastoma-like protein 2,RBL2,Q08999,826.8833333,184.3719015,0.50185181,0.121672505,0.920805494,898,54.3,950.1833333,250.7522842,0.849846008,0.433816167,0.948949699,1.144850506,0.102299277,0.847098143,0.433816167,1.035721317,1001.3,203.6,1.105365399,0.159887148,,,,,,,,,,,,,,
13566-2,RNA polymerase II subunit A C-terminal domain phosphatase SSU72,SSU72,Q9NP77,300.2333333,73.00716099,0.925372195,0.433816167,0.989399681,303.45,0.95,259.25,25.33092642,0.368358077,0.121672505,1.147631695,0.895021291,0.14107125,0.237879887,0.121672505,1.202661172,225.9,23.8,0.744200704,0.07610153,,,,,,,,,,,,,,
13567-1,Dihydropyrimidinase-related protein 2,DPYSL2,Q16555,2646.35,2170.468353,0.157085926,0.202328381,2.588750306,1022.25,170.55,2592.85,2024.611125,0.113402441,0.121672505,3.067916938,1.102417376,0.49667504,0.263471139,0.202328381,1.348749868,845.15,196.95,0.817362361,0.056296258,,,,,,,,,,,,,,
13568-30,26S proteasome non-ATPase regulatory subunit 4,PSMD4,P55036,589.5333333,61.37237888,0.225149687,0.066807201,0.823428079,715.95,57.15,722.0166667,397.4317695,0.856512742,0.121672505,0.955174847,1.219700345,0.630751151,0.621363884,0.433816167,1.146581486,755.9,10.7,1.063771184,0.099859659,,,,,,,,,,,,,,
13570-43,Vigilin,HDLBP,Q00341,391.9333333,35.41001114,0.435859236,0.308537539,1.038922023,377.25,7.65,329.4166667,54.40733457,0.444558196,0.433816167,1.085213858,0.838068205,0.096873981,0.566474305,0.433816167,1.042444145,303.55,19.05,0.803945429,0.034194347,,,,,,,,,,,,,,
13572-43,26S proteasome non-ATPase regulatory subunit 11,PSMD11,O00231,2873.333333,600.9948354,0.98357647,0.308537539,0.997979728,2879.15,7.75,4520.55,6001.08762,0.462479551,0.433816167,1.947589505,1.64290361,2.256346404,0.456063063,0.433816167,2.036067838,2321.1,769,0.806900231,0.269264705,,,,,,,,,,,,,,
13573-5,Actin-related protein 2/3 complex subunit 3,ARPC3,O15145,2431.3,128.1153517,0.798310704,0.433816167,0.948688934,2562.8,400.6,2466.55,299.7995038,0.745089428,0.433816167,0.974689797,1.020119823,0.15341418,0.914293031,0.433816167,1.015649248,2530.6,124.2,1.004401692,0.108538832,,,,,,,,,,,,,,
13574-50,Rho-related GTP-binding protein Rho6,RND1,Q92730,385.9666667,35.97715324,0.656908335,0.433816167,1.041885995,370.45,25.15,413.3166667,50.96225455,0.748200272,0.433816167,0.947322179,1.071660909,0.094304791,0.334051694,0.121672505,0.913441066,436.3,54.3,1.173212974,0.066928583,,,,,,,,,,,,,,
13575-40,Segment polarity protein dishevelled homolog DVL-2,DVL2,O14641,5968.116667,202.3872231,0.521079632,0.202328381,1.075239468,5550.5,450.7,6357.483333,893.1962539,0.439898308,0.202328381,1.063604526,1.063837791,0.134178984,0.834628552,0.433816167,0.98437138,5977.3,225,1.080728079,0.047218115,,,,,,,,,,,,,,
13576-15,Glutathione S-transferase P,GSTP1,P09211,2464.5,128.8634678,0.733526439,0.308537539,1.014552415,2429.15,72.65,2417.15,140.1363711,0.734497206,0.433816167,1.020389641,0.980614444,0.019727188,0.759051685,0.308537539,1.006008638,2368.85,104.85,0.974757479,0.014010608,,,,,,,,,,,,,,
13577-25,Splicing factor U2AF 65 kDa subunit,U2AF2,P26368,652.5,47.88468788,0.473470907,0.066807201,0.599173554,1089,402,669.7833333,61.95472585,0.510959538,0.202328381,0.563933092,1.029452205,0.1007016,0.866734949,0.433816167,0.978429796,1187.7,536.5,1.052147236,0.104257862,,,,,,,,,,,,,,
13578-98,Actin-binding LIM protein 3,ABLIM3,O94929,496.45,288.601321,0.452894976,0.433816167,1.269206187,391.15,11.85,337.8666667,206.2060189,0.426999739,0.433816167,1.337556083,0.683722517,0.114343723,0.713564002,0.433816167,1.062727699,252.6,38.9,0.643365668,0.079959394,,,,,,,,,,,,,,
13580-2,UDP-N-acetylhexosamine pyrophosphorylase,UAP1,Q16222,345.7333333,24.23115534,0.173092406,0.033376508,0.863254266,400.5,20.6,370.6833333,24.87819773,0.00146121,0.033376508,0.83647373,1.074551451,0.065537413,0.566965938,0.308537539,0.969267474,443.15,6.25,1.108622212,0.041417272,,,,,,,,,,,,,,
13583-19,Apoptotic protease-activating factor 1,APAF1,O14727,2606.183333,2228.827057,0.409648416,0.308537539,1.524440415,1709.6,15.4,2506.083333,2228.77928,0.377859879,0.433816167,1.627855364,0.944771401,0.032016253,0.495928936,0.308537539,1.04963396,1539.5,91.1,0.900096069,0.045179294,,,,,,,,,,,,,,
13587-10,Rac GTPase-activating protein 1,RACGAP1,Q9H0H5,1666.7,826.3720833,0.389073585,0.202328381,1.40111807,1189.55,326.45,1477.866667,946.0327666,0.873256808,0.433816167,1.108095274,0.872355847,0.2239845,0.643666059,0.308537539,0.834580856,1333.7,670.3,1.04526223,0.276637506,,,,,,,,,,,,,,
13588-11,Annexin A9,ANXA9,O76027,246.1666667,192.6430781,0.381524296,0.433816167,1.506067095,163.45,4.85,262.1,220.9385812,0.429070397,0.433816167,1.480372776,1.029135701,0.070577306,0.147220113,0.121672505,0.95005076,177.05,5.05,1.083242858,0.001246423,,,,,,,,,,,,,,
13589-10,Amyloid beta A4 precursor protein-binding family B member 3:Phosphotyrosine Interaction Domain 2; Isoform IV,APBB3,O95704,1797.716667,1281.287098,0.301851372,0.121672505,1.584379912,1134.65,79.55,1894.75,1589.85457,0.366769184,0.433816167,1.603546039,0.996062221,0.115049695,0.564063537,0.433816167,0.959302051,1181.6,132.1,1.038319704,0.043627257,,,,,,,,,,,,,,
13590-1,Oligoribonuclease; mitochondrial,REXO2,Q9Y3B8,1612.65,324.4313525,0.88596709,0.433816167,1.015298895,1588.35,72.85,3711.616667,5051.781406,0.466538534,0.308537539,1.958068459,2.629193571,3.918912037,0.462905748,0.433816167,2.170265572,1895.55,536.95,1.211461677,0.393619154,,,,,,,,,,,,,,
13591-31,DNA primase small subunit,PRIM1,P49642,455.6166667,87.94381571,0.215428158,0.202328381,1.140181849,399.6,5.5,485.0666667,98.18756993,0.147775686,0.033376508,1.195039829,1.065872418,0.067772927,0.335309415,0.202328381,1.049788712,405.9,18.5,1.015320898,0.032321659,,,,,,,,,,,,,,
13594-158,ADP-ribosylation factor-binding protein GGA1,GGA1,Q9UJY5,11059.4,3625.001469,0.325595949,0.308537539,0.861773667,12833.3,194.6,8155.2,7897.615111,0.63967169,0.433816167,1.360742174,0.790202245,0.779255538,0.443314562,0.433816167,1.702542131,5993.2,2521.8,0.464130802,0.189466478,,,,,,,,,,,,,,
13595-20,Thiamine-triphosphatase,THTPA,Q9BU02,913.0666667,87.65440979,0.355094957,0.308537539,0.952798358,958.3,22.1,904.4833333,115.2313675,0.399519878,0.202328381,0.870616357,0.999581314,0.155706783,0.513969916,0.433816167,0.923694318,1038.9,105,1.082155963,0.084612703,,,,,,,,,,,,,,
13596-3,Ras-related protein Rab-27B,RAB27B,O00194,1673.416667,149.5869582,0.794397054,0.433816167,1.023027154,1635.75,106.55,1754.533333,259.5027082,0.831435439,0.433816167,0.969141258,1.04640992,0.107061528,0.453850391,0.308537539,0.948130227,1810.4,195.8,1.103656323,0.047810129,,,,,,,,,,,,,,
13597-20,Ras-related protein Rab-31,RAB31,Q13636,1511.333333,371.1546204,0.320557831,0.433816167,0.876592618,1724.1,102.4,760.3333333,221.7610701,0.855925626,0.433816167,1.051563977,0.531177344,0.179903483,0.522590032,0.433816167,1.246636986,723.05,151.15,0.426088228,0.112975717,,,,,,,,,,,,,,
13599-15,Rab9 effector protein with kelch motifs,RABEPK,Q7Z6M1,666.7166667,61.51746139,0.491212341,0.308537539,0.962559253,692.65,21.15,727.7666667,132.9701804,0.285376473,0.121672505,0.810385465,1.0885758,0.155784497,0.233106397,0.066807201,0.841607808,898.05,97.55,1.293447839,0.101340617,,,,,,,,,,,,,,
13602-6,NHP2-like protein 1,SNU13,P55769,506.95,71.24658471,0.406804264,0.433816167,1.070983416,473.35,19.65,555.4166667,86.17952999,0.093944354,0.121672505,1.187548999,1.096790872,0.089334471,0.414727446,0.202328381,1.106065965,467.7,21,0.99161434,0.085529147,,,,,,,,,,,,,,
13603-7,Rieske domain-containing protein,RFESD,Q8TAC1,1245.333333,235.8970232,0.248819868,0.433816167,1.124352955,1107.6,5.6,2773.066667,3282.53319,0.541695081,0.308537539,1.580139985,2.276311628,2.791981372,0.628455492,0.308537539,1.434273263,1754.95,565.45,1.587083638,0.518542496,,,,,,,,,,,,,,
13604-27,E3 ubiquitin-protein ligase NEURL1,NEURL1,O76050,1076.333333,102.1845172,0.668488581,0.433816167,1.025714331,1049.35,37.05,1141.383333,162.4445897,0.524612426,0.308537539,0.918655345,1.059869981,0.103890225,0.247892541,0.202328381,0.896840271,1242.45,110.25,1.181782326,0.063339176,,,,,,,,,,,,,,
13605-16,Annexin A10,ANXA10,Q9UJ72,1707.483333,103.3873689,0.6429454,0.202328381,0.962070844,1774.8,107.1,1690.383333,190.8581447,0.022785924,0.121672505,0.859786543,0.993395984,0.12136915,0.314074738,0.202328381,0.893149791,1966.05,12.65,1.112238948,0.074245431,,,,,,,,,,,,,,
13609-11,General transcription factor II-I,GTF2I,P78347,220.1166667,12.23293596,0.614307969,0.433816167,0.896058077,245.65,36.95,231.45,19.70708417,0.692813212,0.433816167,0.908359498,1.050467464,0.04687276,0.650491861,0.433816167,1.01659683,254.8,44.6,1.033317667,0.026130316,,,,,,,,,,,,,,
13610-9,Melanoma-associated antigen 10,MAGEA10,P43363,5445.233333,825.2341681,0.706480256,0.433816167,1.082131844,5031.95,822.25,5190.35,837.8783121,0.841227279,0.433816167,0.974283649,0.963085251,0.12699724,0.369936242,0.202328381,0.898803542,5327.35,486.45,1.071519199,0.078420227,,,,,,,,,,,,,,
13612-7,Cytohesin-interacting protein,CYTIP,O60759,177.1166667,25.11031771,0.106072786,0.308537539,1.143425866,154.9,2.2,193.1833333,17.09448417,0.024218479,0.066807201,1.203259628,1.101486778,0.090790342,0.219850001,0.308537539,1.063078365,160.55,6.05,1.036129428,0.024341609,,,,,,,,,,,,,,
13613-23,Adenylate kinase isoenzyme 5,AK5,Q9Y6K8,255.9833333,63.94774994,0.106579962,0.121672505,1.383319823,185.05,21.35,289.1,63.75005882,0.065706473,0.121672505,1.355050387,1.155370408,0.214290677,0.982835126,0.433816167,0.997977463,213.35,17.05,1.157711923,0.041432854,,,,,,,,,,,,,,
13614-6,CREB-binding protein,CREBBP,Q92793,2755.266667,394.9353773,0.502736962,0.433816167,1.052050122,2618.95,73.25,2970.833333,394.2723622,0.574568898,0.433816167,1.03712108,1.079962985,0.037580279,0.768247601,0.433816167,0.986419684,2864.5,20.2,1.094831138,0.038334592,,,,,,,,,,,,,,
13615-60,Cytoplasmic protein NCK2,NCK2,O43639,14662.3,5903.669054,0.498639274,0.308537539,0.881733363,16628.95,638.55,3304.416667,501.1683863,0.698486169,0.433816167,0.741565679,0.253255361,0.071874599,0.912307746,0.433816167,0.925777889,4456,2247.4,0.273559526,0.145654502,,,,,,,,,,,,,,
13618-15,Mitotic spindle assembly checkpoint protein MAD1,MAD1L1,Q9Y6D9,1173.733333,97.01104175,0.684303771,0.433816167,1.050508667,1117.3,103.7,1222.25,96.44277664,0.85861535,0.433816167,0.971620494,1.04521233,0.084535988,0.222789787,0.121672505,0.931126799,1257.95,156.85,1.122524163,0.036198196,,,,,,,,,,,,,,
13620-10,ATPase ASNA1,GET3,O43681,432.75,45.06649716,1,0.433816167,1,432.75,20.25,678.2666667,575.7801596,0.408711156,0.433816167,1.533325798,1.531305632,1.212330846,0.415146931,0.433816167,1.485934965,442.35,56.35,1.030533414,0.178436283,,,,,,,,,,,,,,
13621-31,AP-2 complex subunit alpha-2,AP2A2,O94973,19520.56667,4802.863411,0.676690004,0.308537539,0.948014505,20591,1159.1,22231.5,23876.62181,0.637827308,0.308537539,1.371307496,1.181513779,1.315822324,0.596915096,0.433816167,1.4665837,16211.9,5757.9,0.805623149,0.324981681,,,,,,,,,,,,,,
13622-16,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform,PPP2R5A,Q15172,17321.13333,6085.200577,0.591068499,0.308537539,0.916622126,18896.7,428.6,10969.26667,9828.696525,0.790449841,0.433816167,1.161610974,0.68047896,0.612986752,0.582401017,0.433816167,1.371544051,9443.15,3198.65,0.496140798,0.158017223,,,,,,,,,,,,,,
13623-4,Histone-lysine N-methyltransferase 2D,KMT2D,O14686,845.8666667,44.17569719,0.859903151,0.308537539,1.012104896,835.75,44.05,916.1833333,58.9564081,0.602995193,0.308537539,0.946030599,1.083878823,0.058755909,0.136613007,0.121672505,0.93649735,968.45,73.25,1.157375216,0.026643879,,,,,,,,,,,,,,
13624-17,NAD kinase,NADK,O95544,327.35,18.6665253,0.816166388,0.433816167,1.021054273,320.6,22.4,345.0666667,19.65236768,0.393764901,0.121672505,1.069642488,1.0566767,0.072979629,0.226415708,0.308537539,1.048929505,322.6,17.3,1.007385811,0.016423712,,,,,,,,,,,,,,
13625-19,Lupus La protein:HTH La-type RNA-binding domain,SSB,P05455,384.6333333,18.29632629,0.223479124,0.066807201,1.068574339,359.95,11.85,428.9,26.55993223,0.055744121,0.066807201,1.114460179,1.118050443,0.091238127,0.287939648,0.202328381,1.045549051,384.85,10.85,1.069342889,0.005061017,,,,,,,,,,,,,,
13628-58,Growth factor receptor-bound protein 14,GRB14,Q14449,637.85,36.94219584,0.277206,0.202328381,1.054210396,605.05,18.25,640.2333333,40.94971171,0.504499436,0.202328381,1.060076717,1.004955781,0.056882131,0.865946963,0.433816167,1.007780247,603.95,37.95,0.997197339,0.032643829,,,,,,,,,,,,,,
13629-25,Cysteine protease ATG4B,ATG4B,Q9Y4P1,4074.166667,6337.938872,0.400486712,0.433816167,2.797326834,1456.45,367.25,3480.1,4916.111009,0.41634789,0.433816167,2.293613656,0.996043365,0.10068361,0.372127368,0.308537539,0.948924908,1517.3,340,1.049654568,0.031230485,,,,,,,,,,,,,,
13631-1,Retinoblastoma-binding protein 5,RBBP5,Q15291,877.8,55.14888938,0.785965451,0.433816167,1.029496276,852.65,71.25,1001.1,118.6210071,0.597570209,0.308537539,1.047888209,1.142909508,0.140152835,0.777221202,0.308537539,1.017995095,955.35,56.95,1.122706301,0.02702495,,,,,,,,,,,,,,
13632-10,Zyxin,ZYX,Q15942,5080.616667,1709.623104,0.194332031,0.121672505,0.686402857,7401.8,1021.9,2987.266667,1387.542712,0.030611527,0.121672505,0.584712449,0.599335966,0.163925484,0.30148536,0.308537539,0.860830595,5108.95,389.85,0.696229862,0.043452579,,,,,,,,,,,,,,
13634-209,Pirin,PIR,O00625,1285.6,146.5169615,0.452827097,0.202328381,0.901037286,1426.8,128,1666.45,834.3895049,0.635514458,0.433816167,1.127770446,1.27482555,0.562195606,0.407955423,0.433816167,1.223674654,1477.65,35.35,1.041801058,0.068685545,,,,,,,,,,,,,,
13636-20,Nucleosome assembly protein 1-like 1,NAP1L1,P55209,35051.06667,11497.20161,0.615715531,0.308537539,0.926021378,37851.25,1120.45,26866.05,32574.88446,0.652017353,0.433816167,1.464740471,0.785445081,0.990507075,0.600879668,0.433816167,1.593188005,18341.85,10220.65,0.493002131,0.284615019,,,,,,,,,,,,,,
13639-101,General vesicular transport factor p115,USO1,O60763,626.15,91.29652695,0.681685952,0.308537539,0.970098381,645.45,18.45,463.1166667,117.2038455,0.390667829,0.308537539,1.1504575,0.764816654,0.260496481,0.360705777,0.308537539,1.222057743,402.55,37.45,0.625843302,0.075911084,,,,,,,,,,,,,,
13640-5,B-cell lymphoma 6 protein,BCL6,P41182,4299.316667,8879.291764,0.36722304,0.308537539,11.79996341,364.35,29.35,5212.883333,10891.47039,0.366616294,0.202328381,13.73256937,1.071183009,0.077422108,0.761394278,0.433816167,1.023410642,379.6,8.9,1.046679569,0.059887595,,,,,,,,,,,,,,
13642-90,Interferon-induced protein with tetratricopeptide repeats 3,IFIT3,O14879,392.9166667,39.32926886,0.740999092,0.433816167,1.041114644,377.4,35.2,385.5333333,52.88250078,0.440934738,0.308537539,1.110566998,0.985324863,0.11989508,0.275145047,0.308537539,1.071466321,347.15,33.35,0.919604138,0.00259654,,,,,,,,,,,,,,
13644-30,Hepatocyte growth factor-regulated tyrosine kinase substrate,HGS,O14964,5995.9,1666.784252,0.748160183,0.308537539,0.959144498,6251.3,117.1,5845.766667,7104.743198,0.537814421,0.433816167,1.62696502,0.991345304,1.194584162,0.503650062,0.433816167,1.712210671,3593.05,1339.55,0.578985589,0.225129047,,,,,,,,,,,,,,
